,RMSE,MAE,R2
Ensemble,25.233018549430746,16.08122689517257,0.9408015336962554
CatBoost_GPU,25.47675687488433,16.3863881632493,0.9396523550387748
LightGBM,25.5762552892751,16.361719274863397,0.9391800641449122
XGBoost_GPU,25.643518921717316,16.217301100774442,0.9388597397474573
